nome,rg,cpf,dataNascimento,dataAdmissao,cargo
Isadora Guedes,221225158,65437236298,01/12/1958,19/15/1989,Examinador
Gabriela Guedes,113211429,86412724702,08/06/1971,02/02/1989,Educador de infância/Professor dos ensinos básico e secundário
Antonio Siqueira,422041269,48218082697,03/03/1950,05/12/1996,Especialista em medicina geral e familiar
Tomás Lemos,213422451,87020087850,07/19/2003,08/01/1971,Engenheiro técnico de transportes
Fabiano Saraiva,110151112,40836685717,08/21/1980,07/28/1998,Engenheiro de mato geográfico/topográfico
Rodolfo Peres,111310350,01803574330,07/01/1981,12/15/2000,Engenheiro técnico industrial e da qualidade
Armando Cavalcanti,203131605,38757786771,11/03/1958,05/20/2004,Electricista (Proeriais
Ivo Ávila,223122634,40640185088,10/02/1959,02/04/2019,Engenheiro de voo de condução
Maitê Ximenes,412331470,75364600408,05/11/1982,04/18/1981,Examinador de voo
Priscila Ximenes,202141639,18281115629,12/13/1985,07/21/2018,Farmacêutico
Magali Sanches,102134522,11720232636,08/08/1995,10/20/1976,Engenheiro naval
Jaqueline Figueiredo,403442448,63548715150,01/04/1992,19/07/1989,Engenheiro químico e biológico
Marisa Guerra,122042311,66561152093,11/13/1956,01/10/1989,Doenças infecciosas
Neusa Paschoal,201156143,42418437434,01/04/1970,04/11/2004,Engenheiro técnico aeronáutico
Gustavo Sanches,212425237,75388065120,05/28/1960,08/15/1996,Engenheiro técnico agrário
Márcio Medeiras,110345241,67118247502,10/04/1993,07/01/1971,Engenheiro técnico de protecção civil
Bernardo Silveira,210312348,60586627294,11/30/2003,07/20/1998,Farmacêutico especialista em indústria farmacêutica
Ângelo Medina,202424467,07886052323,10/07/1951,09/04/2020,Fisioterapeuta
Maurício Sato,421235585,12632622280,04/25/1972,02/16/1980,Formador de operador de máquinas agrícolas
Igor Campos,111151442,54741258106,05/26/2001,06/24/1979,Gastrenterologia
