nome,rg,cpf,dataNascimento,dataAdmissao,cargo,Status,Observacao
Alícia Kanashiro,420256222,33325641024,01/06/2000,09/01/2020,Analista de sementes,OK,Concluido com sucesso
Olívia Furtado,102113749,51615870326,06/08/1971,07/18/2009,Anatomia patológica,OK,Concluido com sucesso
Jéssica Melo,212105681,00477316808,01/01/1998,10/18/2018,Anestesiologia,OK,Concluido com sucesso
Fernando Teixeira,211344266,86701185134,05/08/1968,03/10/1989,Angiologia/Cirurgia vascular,OK,Concluido com sucesso
Paulo Conceição,212051131,26674153370,03/02/1987,02/11/2012,Aplicador especializado de produtos fitofarmacêuticos,OK,Concluido com sucesso
Arthur Castro,310015042,17687614429,10/05/1950,02/05/1984,Arquitéto,OK,Concluido com sucesso
Renato Bosco,112254172,87534648858,02/05/1992,09/08/1973,Autor de projeto,OK,Concluido com sucesso
Kléber Paz,213405222,75621300190,01/09/1975,06/08/1972,Biólogo,OK,Concluido com sucesso
Rafael Rosário,212444773,66285385246,09/10/1962,01/01/2019,Cardiologista,OK,Concluido com sucesso
Neusa Serrano,213154444,32845732325,03/10/2000,05/30/1986,Cardiologista pediátrica,OK,Concluido com sucesso
Zélia Ramos,121344654,87726738774,10/09/1951,05/16/1970,Cirurgião cardiotorácica,OK,Concluido com sucesso
Isadora Fonseca,202214242,44775635239,05/05/1982,02/13/2015,Cirurgião cardíaca,OK,Concluido com sucesso
Eliana Borges,202335239,16362857321,05/06/1981,03/17/1989,Cirurgião geral,OK,Concluido com sucesso
Raquel Magalhães,211400269,43885876132,09/01/2000,04/27/2012,Cirurgião maxilo-facial,OK,Concluido com sucesso
Rebeca Prestes,112321732,06642301722,02/11/1985,10/08/1973,Cirurgião pediátrica,OK,Concluido com sucesso
Jurandir Bitencourt,323231457,46743583707,02/05/1961,07/18/1985,Cirurgião plástica,OK,Concluido com sucesso
Pablo Belluci,211326525,50181782219,09/08/1980,02/18/2001,Cirurgião torácica,OK,Concluido com sucesso
Diego Bezerra,311151462,05182057385,07/18/1958,08/19/2021,Condutor de mercadorias perigosas,OK,Concluido com sucesso
Rafael Cunha,420422079,17176278709,10/18/1953,05/08/2017,Condutor de transporte de animais de curta duração,OK,Concluido com sucesso
Antônio Dutra,410041646,40037080407,06/19/1974,05/05/2012,Condutor de transportes de animais de longa duração,OK,Concluido com sucesso
Mateus Magalhães,413113723,56058630452,11/29/1963,06/19/2011,Conselheiro de segurança,OK,Concluido com sucesso
Odete Gonçalves,320244143,74011815845,02/21/1975,11/29/2013,Contabilista certificado,OK,Concluido com sucesso
Evelyn Fontana,412144104,23328574786,05/25/1984,02/21/1989,Contramestre,OK,Concluido com sucesso
Miriam Salles,200235102,47624017490,11/28/1987,05/25/2009,Controlador de tráfego aéreo,OK,Concluido com sucesso
Milena Dias,400245553,58047522191,11/26/1963,11/28/1972,Autoridade Nacional da Aviação Civil (ANAC),OK,Concluido com sucesso
Cíntia Medeiras,101201163,66333522554,03/17/1987,11/26/1987,Controlador de tráfego marítimo,OK,Concluido com sucesso
Mônica Mendes,312035056,80150572050,04/27/1994,09/07/2020,Coordenador de mergulho,OK,Concluido com sucesso
Sandro Castilho,212411639,77613012123,10/08/1976,01/01/1981,Coordenador de projeto,OK,Concluido com sucesso
Bernardo Nakamura,212244358,58272647761,07/18/2002,07/07/2018,Cozinheiro (Profissão marítima),OK,Concluido com sucesso
Douglas Moraes,102232301,76434334532,02/18/1974,01/15/2002,Dentistas especialista (Cirurgia oral),OK,Concluido com sucesso
Vítor Ferreira,402011430,53156018201,08/19/1982,10/11/1999,Dentistas especialista (Ortodôncia),OK,Concluido com sucesso
Alberto Espíndola,302133562,51314183486,09/07/1995,02/10/1972,Dermatovenereologia,OK,Concluido com sucesso
Tadeu Lópes,321151112,67273007471,01/01/1964,10/06/1970,Engenheiro técnico alimentar,OK,Concluido com sucesso
Nelson Bosco,311206785,66540208049,07/07/1994,08/24/2019,Engenheiro técnico civil,OK,Concluido com sucesso
Evandro Álvarez,111326618,87681750860,01/15/1959,11/01/1999,Engenheiro técnico de ambiente,OK,Concluido com sucesso
Sidnei Guerra,122116732,43082681760,05/30/1981,05/28/1971,Dietista,OK,Concluido com sucesso
Benedito Sato,311246539,83344325000,05/16/1959,04/24/1982,Engenheiro técnico geotécnico e de minas,OK,Concluido com sucesso
Raul Pires,210324612,34276872448,02/13/1983,12/22/2003,Engenheiro flor,OK,Concluido com sucesso
Osvaldo Vila,421414534,42557736619,10/11/1951,11/26/1973,Ginecologia e obstetrícia,OK,Concluido com sucesso
Vitor Albuquerque,312130338,63385426260,02/10/1976,05/11/1979,Hematologia clínica,OK,Concluido com sucesso
Osvaldo Conceição,111034322,30643287787,10/06/1985,07/21/2018,Higienista oral,OK,Concluido com sucesso
Giovane Ruiz,222015275,26263104252,08/24/1960,07/28/1998,Imuno-alergologia,OK,Concluido com sucesso
Cauê Medeiros,212416042,85480366300,11/01/1975,02/04/2019,Dietista,OK,Concluido com sucesso
Osvaldo Moraes,211041439,16748513839,05/28/1979,04/25/1981,Docente/Professor do ensino superior politécnico,OK,Concluido com sucesso
Luiz Correia,421345469,77230760100,04/24/1971,09/04/2020,Farmacêutico especialista em farmácia hospitalar,OK,Concluido com sucesso
Caroline Álvarez,211111363,51236303253,12/22/1986,02/16/1980,Docente/Professor do ensino superior universitário,OK,Concluido com sucesso
Benedita Batista,211343638,86522318180,11/26/1982,07/24/1979,Economista,OK,Concluido com sucesso
Roberta Farias,303133363,54274823857,05/11/1994,05/15/2000,Enólogoestal,OK,Concluido com sucesso
Benedita Neves,301135228,43888727251,07/21/1983,05/24/2004,Engenheiro geológo e de minas,OK,Concluido com sucesso
Ágata Soares,202444648,55231823112,07/28/2002,07/31/1987,Docente/Professor do ensino superior politécnico,OK,Concluido com sucesso
Vanessa Santos,312135312,65576860624,02/04/1952,09/27/1976,Docente/Professor do ensino superior universitário,OK,Concluido com sucesso
Artur Cabral,413232189,61862424470,04/25/1964,12/31/1989,Engenheiro técnico de electrónica e telecomunicações,OK,Concluido com sucesso
Saulo Chaves,113122524,60857082035,09/04/1967,02/02/1989,Engenheiro técnico de energia e sistemas de potência,OK,Concluido com sucesso
Oscar Padilha,202343248,85511512079,02/16/1989,01/12/1996,Engenheiro técnico de informática,OK,Concluido com sucesso
Arthur Assunção,121242420,00505700301,07/24/1956,08/06/1971,Economista,OK,Concluido com sucesso
Rodolfo Ramos,110435345,68388741560,05/15/1975,07/21/2018,Engenheiro do ambiente,OK,Concluido com sucesso
Jonas Ramos,211305546,05310702474,05/24/1974,09/04/2020,Engenheiro electrotécnico,OK,Concluido com sucesso
Sabrina Rosa,110155464,23256847250,07/31/2001,02/16/1980,Engenheiro geógrafo,OK,Concluido com sucesso
Miriam Fagundes,221242260,67314574693,09/27/1969,07/24/1979,Engenheiro informático,OK,Concluido com sucesso
Melissa Maciel,120433564,03133567853,12/31/1979,08/12/1987,Engenheiro mecânico,OK,Concluido com sucesso
Laís Conceição,320045626,51405338555,02/02/1989,10/27/1976,Estomatologia,OK,Concluido com sucesso
Isadora Guedes,221225158,65437236298,01/12/1958,19/15/1989,Examinador,OK,Concluido com sucesso
Gabriela Guedes,113211429,86412724702,08/06/1971,02/02/1989,Educador de infância/Professor dos ensinos básico e secundário,OK,Concluido com sucesso
Antonio Siqueira,422041269,48218082697,03/03/1950,05/12/1996,Especialista em medicina geral e familiar,OK,Concluido com sucesso
Tomás Lemos,213422451,87020087850,07/19/2003,08/01/1971,Engenheiro técnico de transportes,OK,Concluido com sucesso
Fabiano Saraiva,110151112,40836685717,08/21/1980,07/28/1998,Engenheiro de mato geográfico/topográfico,OK,Concluido com sucesso
Rodolfo Peres,111310350,01803574330,07/01/1981,12/15/2000,Engenheiro técnico industrial e da qualidade,OK,Concluido com sucesso
Armando Cavalcanti,203131605,38757786771,11/03/1958,05/20/2004,Electricista (Proeriais,OK,Concluido com sucesso
Ivo Ávila,223122634,40640185088,10/02/1959,02/04/2019,Engenheiro de voo de condução,OK,Concluido com sucesso
Maitê Ximenes,412331470,75364600408,05/11/1982,04/18/1981,Examinador de voo,OK,Concluido com sucesso
Priscila Ximenes,202141639,18281115629,12/13/1985,07/21/2018,Farmacêutico,OK,Concluido com sucesso
Magali Sanches,102134522,11720232636,08/08/1995,10/20/1976,Engenheiro naval,OK,Concluido com sucesso
Jaqueline Figueiredo,403442448,63548715150,01/04/1992,19/07/1989,Engenheiro químico e biológico,OK,Concluido com sucesso
Marisa Guerra,122042311,66561152093,11/13/1956,01/10/1989,Doenças infecciosas,OK,Concluido com sucesso
Neusa Paschoal,201156143,42418437434,01/04/1970,04/11/2004,Engenheiro técnico aeronáutico,OK,Concluido com sucesso
Gustavo Sanches,212425237,75388065120,05/28/1960,08/15/1996,Engenheiro técnico agrário,OK,Concluido com sucesso
Márcio Medeiras,110345241,67118247502,10/04/1993,07/01/1971,Engenheiro técnico de protecção civil,OK,Concluido com sucesso
Bernardo Silveira,210312348,60586627294,11/30/2003,07/20/1998,Farmacêutico especialista em indústria farmacêutica,OK,Concluido com sucesso
Ângelo Medina,202424467,07886052323,10/07/1951,09/04/2020,Fisioterapeuta,OK,Concluido com sucesso
Maurício Sato,421235585,12632622280,04/25/1972,02/16/1980,Formador de operador de máquinas agrícolas,OK,Concluido com sucesso
Igor Campos,111151442,54741258106,05/26/2001,06/24/1979,Gastrenterologia,OK,Concluido com sucesso
